Language,# Datasets, # Hours,# Corpora,# Words, Last update
`Arabic <./languages/arabic.html>`_,6,131,0,0,2022-07-31
`Chinese <./languages/chinese.html>`_,2,65,0,0,2022-07-31
`Czech <./languages/czech.html>`_,6,536,1,13195311,2022-07-31
`Danish <./languages/danish.html>`_,6,1866,1,47761381,2022-07-31
`Dutch <./languages/dutch.html>`_,7,2648,1,53487257,2022-07-31
`English <./languages/english.html>`_,11,75800,1,53974751,2022-07-31
`Finnish <./languages/finnish.html>`_,1,9,1,33708706,2022-07-31
`French <./languages/french.html>`_,6,2581,1,54202850,2022-07-31
`German <./languages/german.html>`_,12,5326,1,47236849,2022-07-31
`Greek <./languages/greek.html>`_,4,48,1,0,2022-07-31
`Italian <./languages/italian.html>`_,5,834,1,50259169,2022-07-31
`Japanese <./languages/japanese.html>`_,2,49,0,0,2022-07-31
`Korean <./languages/korean.html>`_,1,3,0,0,2022-07-31
`Norwegian <./languages/norwegian.html>`_,1,3,0,0,2022-07-31
`Polish <./languages/polish.html>`_,4,341,1,7087016,2022-07-31
`Portuguese <./languages/portuguese.html>`_,4,568,1,52300149,2022-07-31
`Russian <./languages/russian.html>`_,4,270,0,0,2022-07-31
`Spanish <./languages/spanish.html>`_,7,2267,1,54806927,2022-07-31
`Swedish <./languages/swedish.html>`_,4,42,1,45665947,2022-07-31
`Ukranian <./languages/ukranian.html>`_,2,156,0,0,2022-07-31
